TABLE_NAME,TABLE_TYPE,ROW_COUNT,BYTES,CREATED
COUNTRY_MASTER,BASE TABLE,35,4096,2026-09-14 06:12:55.959 -0700
CURRENCY_MASTER,BASE TABLE,27,2048,2026-09-14 06:12:56.939 -0700
CUSTOMER_MASTER,BASE TABLE,260513,31298048,2026-09-14 06:16:01.998 -0700
PRODUCT_CATEGORY_MASTER,BASE TABLE,10,1536,2026-09-14 06:13:45.917 -0700
PRODUCT_COUNTRY_AVAILABILITY,BASE TABLE,22750,216576,2026-09-14 06:13:44.600 -0700
PRODUCT_FAMILY_MASTER,BASE TABLE,43,2048,2026-09-14 06:13:45.694 -0700
PRODUCT_MODEL_MASTER,BASE TABLE,111,3584,2026-09-14 06:13:45.131 -0700
PRODUCT_SKU_MASTER,BASE TABLE,650,13312,2026-09-14 06:13:44.864 -0700
REGION_MASTER,BASE TABLE,5,1536,2026-09-14 06:12:56.269 -0700
SALES_HEADER,BASE TABLE,642546,56509952,2026-09-14 06:16:01.139 -0700
SALES_ITEM,BASE TABLE,642546,43161600,2026-09-14 06:16:00.813 -0700
STORE_MASTER,BASE TABLE,121,11776,2026-09-14 06:16:01.612 -0700
TAX_MASTER,BASE TABLE,35,2048,2026-09-14 06:12:55.698 -0700
